pairID,gold_label,Sentence1,Sentence2,Explanation_1,Sentence1_marked_1,Sentence2_marked_1,Sentence1_Highlighted_1,Sentence2_Highlighted_1,Explanation_2,Sentence1_marked_2,Sentence2_marked_2,Sentence1_Highlighted_2,Sentence2_Highlighted_2,Explanation_3,Sentence1_marked_3,Sentence2_marked_3,Sentence1_Highlighted_3,Sentence2_Highlighted_3
0,entailment,the technician in front of the directors affected the stylists .,the technician affected the stylists .,the technician in front of the directors is still the technician .,,,,,,,,,,,,,,
1,entailment,the photojournalist in front of the tourists admired the directors .,the photojournalist admired the directors .,the photojournalist in front of the tourists is still the photojournalist .,,,,,,,,,,,,,,
160,entailment,the penciller who talked needed the actors .,the penciller needed the actors .,the penciller who talked is still the penciller .,,,,,,,,,,,,,,
161,entailment,the penciller who agreed helped the colorist .,the penciller helped the colorist .,the penciller who agreed is still the penciller .,,,,,,,,,,,,,,
320,entailment,the psychotherapists who the tourist advised needed the chaplain .,the psychotherapists needed the chaplain .,the psychotherapists who the tourist advised are still the psychotherapists .,,,,,,,,,,,,,,
321,entailment,the scientist who the sculptors encouraged needed the doctor .,the scientist needed the doctor .,the scientist who the sculptors encouraged is still the scientist .,,,,,,,,,,,,,,
640,entailment,the psychologists and the penciller affected the programmer .,the psychologists affected the programmer .,the psychologists are part of the psychologists and the penciller .,,,,,,,,,,,,,,
641,entailment,the engineers and the artist found the illustrators .,the engineers found the illustrators .,the engineers are part of the engineers and the artist .,,,,,,,,,,,,,,
800,entailment,the officers recognized the musician and the penciller .,the officers recognized the penciller .,the penciller is part of the musician and the penciller .,,,,,,,,,,,,,,
801,entailment,the artist advised the managers and the athletes .,the artist advised the athletes .,the athletes are part of the managers and the athletes .,,,,,,,,,,,,,,
1120,entailment,the technicians were saw by the stylist .,the stylist saw the technicians .,"saw is the active form of was saw by , so we swap the technicians and the stylist .",,,,,,,,,,,,,,
1121,entailment,the bankers were needed by the artists .,the artists needed the bankers .,"needed is the active form of was needed by , so we swap the bankers and the artists .",,,,,,,,,,,,,,
1280,entailment,the chaplain who the stylists contacted needed the technician .,the stylists contacted the chaplain .,who in who the stylists contacted refers to the chaplain .,,,,,,,,,,,,,,
1281,entailment,the psychotherapists who the curator recognized advised the psychologists .,the curator recognized the psychotherapists .,who in who the curator recognized refers to the psychotherapists .,,,,,,,,,,,,,,
1600,entailment,the psychotherapists admired the doctors who affected the artist .,the doctors affected the artist .,the doctors is the subject of the relative clause who affected the artist .,,,,,,,,,,,,,,
1601,entailment,the musician saw the pencillers who affected the artist .,the pencillers affected the artist .,the pencillers is the subject of the relative clause who affected the artist .,,,,,,,,,,,,,,
1760,entailment,the director advised the chaplains who the stylist encouraged .,the stylist encouraged the chaplains .,the chaplains are the object of the relative clause who the stylist encouraged .,,,,,,,,,,,,,,
1761,entailment,the musicians saw the athletes who the penciller needed .,the penciller needed the athletes .,the athletes are the object of the relative clause who the penciller needed .,,,,,,,,,,,,,,
1920,neutral,the artists in front of the stylists saw the banker .,the stylists saw the artists .,"the artists saw the banker and the artists are in front of the stylists , we do not know whether the stylists saw the artists .",,,,,,,,,,,,,,
1921,neutral,the chaplain in front of the psychotherapists helped the artist .,the psychotherapists helped the chaplain .,"the chaplain helped the artist and the chaplain is in front of the psychotherapists , we do not know whether the psychotherapists helped the chaplain .",,,,,,,,,,,,,,
2080,neutral,the colorists in front of the sculptors contacted the penciller .,the penciller contacted the colorists .,"the colorists contacted the penciller , we do not know whether the penciller contacted the colorists .",,,,,,,,,,,,,,
2081,neutral,the engineer near the officer admired the potter .,the potter admired the engineer .,"the engineer admired the potter , we do not know whether the potter admired the engineer .",,,,,,,,,,,,,,
2240,neutral,the musician in front of the manager contacted the bankers .,the bankers contacted the manager .,"the musician contacted the bankers and the manager is in front of the musician , we do not know whether the bankers contacted the manager .",,,,,,,,,,,,,,
2241,neutral,the illustrators near the curators advised the managers .,the managers advised the curators .,"the illustrators advised the managers and the curators are near the illustrators , we do not know whether the managers advised the curators .",,,,,,,,,,,,,,
2560,neutral,the manager recognized the programmer near the musicians .,the programmer recognized the musicians .,"the manager recognized the programmer and the programmer is near the musicians , we do not know whether the programmer recognized the musicians .",,,,,,,,,,,,,,
