pairID,gold_label,Sentence1,Sentence2,Explanation_1,Sentence1_marked_1,Sentence2_marked_1,Sentence1_Highlighted_1,Sentence2_Highlighted_1,Explanation_2,Sentence1_marked_2,Sentence2_marked_2,Sentence1_Highlighted_2,Sentence2_Highlighted_2,Explanation_3,Sentence1_marked_3,Sentence2_marked_3,Sentence1_Highlighted_3,Sentence2_Highlighted_3
0,entailment,the illustrator by the artisans deceived the writer .,the illustrator deceived the writer .,illustrator artisans illustrator,,,,,,,,,,,,,,
1,entailment,the designer behind the students deceived the bakers .,the designer deceived the bakers .,designer students designer,,,,,,,,,,,,,,
2,entailment,the animator behind the presidents needed the dancer .,the animator needed the dancer .,animator presidents animator,,,,,,,,,,,,,,
3,entailment,the psychologist next to the animators needed the artisan .,the psychologist needed the artisan .,psychologist animators psychologist,,,,,,,,,,,,,,
160,entailment,the psychologist who arrived needed the illustrators .,the psychologist needed the illustrators .,psychologist arrived psychologist,,,,,,,,,,,,,,
161,entailment,the musician who voted contacted the photographers .,the musician contacted the photographers .,musician voted musician,,,,,,,,,,,,,,
162,entailment,the baker who lay contacted the student .,the baker contacted the student .,baker lay baker,,,,,,,,,,,,,,
163,entailment,the musician that voted deceived the director .,the musician deceived the director .,musician voted musician,,,,,,,,,,,,,,
320,entailment,the animators who the workers deceived brought the illustrator .,the animators brought the illustrator .,animators workers deceived animators,,,,,,,,,,,,,,
321,entailment,the illustrators that the artisan contacted needed the photographers .,the illustrators needed the photographers .,illustrators artisan contacted illustrators,,,,,,,,,,,,,,
322,entailment,the strategists that the dancers advised disturbed the directors .,the strategists disturbed the directors .,strategists dancers advised strategists,,,,,,,,,,,,,,
323,entailment,the athletes who the essayists contacted expected the designer .,the athletes expected the designer .,athletes essayists contacted athletes,,,,,,,,,,,,,,
640,entailment,the judge and the colorists needed the animators .,the judge needed the animators .,judge judge colorists,,,,,,,,,,,,,,
641,entailment,the scientists and the manager introduced the baker .,the scientists introduced the baker .,scientists scientists manager,,,,,,,,,,,,,,
642,entailment,the animator and the scientists recommended the photojournalists .,the animator recommended the photojournalists .,animator animator scientists,,,,,,,,,,,,,,
643,entailment,the strategists and the dancers deceived the president .,the strategists deceived the president .,strategists strategists dancers,,,,,,,,,,,,,,
800,entailment,the musician saw the managers and the strategist .,the musician saw the strategist .,strategist managers strategist,,,,,,,,,,,,,,
801,entailment,the planners disturbed the psychologist and the directors .,the planners disturbed the directors .,directors psychologist directors,,,,,,,,,,,,,,
802,entailment,the artist needed the strategist and the musicians .,the artist needed the musicians .,musicians strategist musicians,,,,,,,,,,,,,,
803,entailment,the photojournalists introduced the artist and the athletes .,the photojournalists introduced the athletes .,athletes artist athletes,,,,,,,,,,,,,,
1120,entailment,the designers were introduced by the animator .,the animator introduced the designers .,introduced introduced designers animator,,,,,,,,,,,,,,
1121,entailment,the scientists were expected by the musicians .,the musicians expected the scientists .,expected expected scientists musicians,,,,,,,,,,,,,,
1122,entailment,the writers were recognized by the animators .,the animators recognized the writers .,recognized recognized writers animators,,,,,,,,,,,,,,
1123,entailment,the designers were recommended by the planners .,the planners recommended the designers .,recommended recommended designers planners,,,,,,,,,,,,,,
1280,entailment,the psychologist that the writer saw deceived the judges .,the writer saw the psychologist .,writer saw psychologist,,,,,,,,,,,,,,
1281,entailment,the athlete who the animator advised contacted the strategist .,the animator advised the athlete .,animator advised athlete,,,,,,,,,,,,,,
1282,entailment,the workers who the dancers disturbed advised the psychologists .,the dancers disturbed the workers .,dancers disturbed workers,,,,,,,,,,,,,,
1283,entailment,the photojournalist that the worker disturbed saw the stylist .,the worker disturbed the photojournalist .,worker disturbed photojournalist,,,,,,,,,,,,,,
1600,entailment,the animators expected the directors that needed the worker .,the directors needed the worker .,directors needed worker,,,,,,,,,,,,,,
1601,entailment,the athlete disturbed the designer who contacted the artists .,the designer contacted the artists .,designer contacted artists,,,,,,,,,,,,,,
1602,entailment,the artists recognized the writers who expected the psychologists .,the writers expected the psychologists .,writers expected psychologists,,,,,,,,,,,,,,
1603,entailment,the animator needed the student that brought the stylist .,the student brought the stylist .,student brought stylist,,,,,,,,,,,,,,
1760,entailment,the baker brought the senator who the students contacted .,the students contacted the senator .,senator students contacted,,,,,,,,,,,,,,
1761,entailment,the photojournalists recommended the stylists that the designer expected .,the designer expected the stylists .,stylists designer expected,,,,,,,,,,,,,,
1762,entailment,the colorists saw the designer who the baker expected .,the baker expected the designer .,designer baker expected,,,,,,,,,,,,,,
1763,entailment,the musicians advised the designers that the senator recommended .,the senator recommended the designers .,designers senator recommended,,,,,,,,,,,,,,
1920,neutral,the directors next to the colorist expected the workers .,the colorist expected the directors .,directors expected workers directors colorist not know colorist expected directors,,,,,,,,,,,,,,
1921,neutral,the artist by the stylist recognized the planners .,the stylist recognized the artist .,artist recognized planners artist stylist not know stylist recognized artist,,,,,,,,,,,,,,
1922,neutral,the photographers next to the dancers recommended the scientists .,the dancers recommended the photographers .,photographers recommended scientists photographers dancers not know dancers recommended photographers,,,,,,,,,,,,,,
1923,neutral,the senators behind the musicians contacted the professors .,the musicians contacted the senators .,senators contacted professors senators musicians not know musicians contacted senators,,,,,,,,,,,,,,
2080,neutral,the manager next to the essayist saw the writers .,the writers saw the manager .,manager saw writers not know writers saw manager,,,,,,,,,,,,,,
2081,neutral,the artisan in front of the strategist saw the senators .,the senators saw the artisan .,artisan saw senators not know senators saw artisan,,,,,,,,,,,,,,
2082,neutral,the psychologists next to the dancers contacted the planners .,the planners contacted the psychologists .,psychologists contacted planners not know planners contacted psychologists,,,,,,,,,,,,,,
2083,neutral,the bakers in front of the senator recognized the planner .,the planner recognized the bakers .,bakers recognized planner not know planner recognized bakers,,,,,,,,,,,,,,
2240,neutral,the illustrators next to the workers recognized the managers .,the managers recognized the workers .,illustrators recognized managers workers illustrators not know managers recognized workers,,,,,,,,,,,,,,
2241,neutral,the dancer by the illustrator advised the planner .,the planner advised the illustrator .,dancer advised planner illustrator dancer not know planner advised illustrator,,,,,,,,,,,,,,
2242,neutral,the colorists in front of the artist saw the scientist .,the scientist saw the artist .,colorists saw scientist artist colorists not know scientist saw artist,,,,,,,,,,,,,,
2243,neutral,the illustrator near the essayists recognized the professor .,the professor recognized the essayists .,illustrator recognized professor essayists illustrator not know professor recognized essayists,,,,,,,,,,,,,,
2560,neutral,the senators advised the baker by the photographers .,the baker advised the photographers .,senators advised baker baker photographers not know baker advised photographers,,,,,,,,,,,,,,
2561,neutral,the planner deceived the designer behind the worker .,the designer deceived the worker .,planner deceived designer designer worker not know designer deceived worker,,,,,,,,,,,,,,
2562,neutral,the dancers disturbed the presidents next to the professors .,the presidents disturbed the professors .,dancers disturbed presidents presidents professors not know presidents disturbed professors,,,,,,,,,,,,,,
2563,neutral,the musicians recommended the senators next to the artist .,the senators recommended the artist .,musicians recommended senators senators artist not know senators recommended artist,,,,,,,,,,,,,,
2720,neutral,the artist brought the writers in front of the athlete .,the athlete brought the artist .,artist brought writers writers athlete not know athlete brought artist,,,,,,,,,,,,,,
2721,neutral,the photojournalist saw the psychologist in front of the writers .,the writers saw the photojournalist .,photojournalist saw psychologist psychologist writers not know writers saw photojournalist,,,,,,,,,,,,,,
2722,neutral,the judge contacted the strategist by the writer .,the writer contacted the judge .,judge contacted strategist strategist writer not know writer contacted judge,,,,,,,,,,,,,,
2723,neutral,the director introduced the designer behind the writers .,the writers introduced the director .,director introduced designer designer writers not know writers introduced director,,,,,,,,,,,,,,
2880,neutral,the senators who the psychologist saw recommended the artists .,the psychologist recommended the senators .,psychologist saw senators senators recommended artists not know psychologist recommended senators,,,,,,,,,,,,,,
2881,neutral,the photographers who the psychologist deceived brought the musician .,the psychologist brought the photographers .,psychologist deceived photographers photographers brought musician not know psychologist brought photographers,,,,,,,,,,,,,,
2882,neutral,the photojournalists who the bakers saw needed the worker .,the bakers needed the photojournalists .,bakers saw photojournalists photojournalists needed worker not know bakers needed photojournalists,,,,,,,,,,,,,,
2883,neutral,the designers who the photographers introduced advised the senator .,the photographers advised the designers .,photographers introduced designers designers advised senator not know photographers advised designers,,,,,,,,,,,,,,
3040,neutral,the musicians that the student disturbed advised the photojournalist .,the photojournalist advised the musicians .,musicians advised photojournalist not know photojournalist advised musicians,,,,,,,,,,,,,,
3041,neutral,the photographers who the stylist deceived contacted the student .,the student contacted the photographers .,photographers contacted student not know student contacted photographers,,,,,,,,,,,,,,
3042,neutral,the senator that the dancers expected deceived the colorist .,the colorist deceived the senator .,senator deceived colorist not know colorist deceived senator,,,,,,,,,,,,,,
3043,neutral,the photojournalist that the senator expected deceived the stylist .,the stylist deceived the photojournalist .,photojournalist deceived stylist not know stylist deceived photojournalist,,,,,,,,,,,,,,
3200,neutral,the artisans who the dancers disturbed recommended the psychologist .,the psychologist disturbed the dancers .,artisans dancers disturbed artisans recommended psychologist not know psychologist disturbed dancers,,,,,,,,,,,,,,
3201,neutral,the judge who the presidents needed disturbed the director .,the director needed the presidents .,judge presidents needed judge disturbed director not know director needed presidents,,,,,,,,,,,,,,
3202,neutral,the designer that the dancers recommended deceived the illustrator .,the illustrator recommended the dancers .,designer dancers recommended designer deceived illustrator not know illustrator recommended dancers,,,,,,,,,,,,,,
3203,neutral,the baker that the professors recommended advised the psychologists .,the psychologists recommended the professors .,baker professors recommended baker advised psychologists not know psychologists recommended professors,,,,,,,,,,,,,,
3360,neutral,the senators who needed the bakers expected the directors .,the bakers expected the senators .,senators needed bakers senators expected directors not know bakers expected senators,,,,,,,,,,,,,,
3361,neutral,the designers who brought the dancers contacted the judges .,the dancers contacted the designers .,designers brought dancers designers contacted judges not know dancers contacted designers,,,,,,,,,,,,,,
3362,neutral,the musician who saw the designer contacted the stylists .,the designer contacted the musician .,musician saw designer musician contacted stylists not know designer contacted musician,,,,,,,,,,,,,,
3363,neutral,the colorist that brought the scientist introduced the stylists .,the scientist introduced the colorist .,colorist brought scientist colorist introduced stylists not know scientist introduced colorist,,,,,,,,,,,,,,
3520,neutral,the essayists that recommended the musicians advised the artists .,the artists advised the essayists .,essayists advised artists not know artists advised essayists,,,,,,,,,,,,,,
3521,neutral,the psychologists that deceived the artist brought the manager .,the manager brought the psychologists .,psychologists brought manager not know manager brought psychologists,,,,,,,,,,,,,,
3522,neutral,the artists that recommended the psychologists saw the manager .,the manager saw the artists .,artists saw manager not know manager saw artists,,,,,,,,,,,,,,
3523,neutral,the illustrators who brought the artisans contacted the photojournalist .,the photojournalist contacted the illustrators .,illustrators contacted photojournalist not know photojournalist contacted illustrators,,,,,,,,,,,,,,
4320,neutral,the bakers recommended the essayists that the director brought .,the essayists recommended the bakers .,bakers recommended essayists not know essayists recommended bakers,,,,,,,,,,,,,,
4321,neutral,the senators disturbed the illustrator who the worker contacted .,the illustrator disturbed the senators .,senators disturbed illustrator not know illustrator disturbed senators,,,,,,,,,,,,,,
4322,neutral,the photographer saw the artisan who the planner advised .,the artisan saw the photographer .,photographer saw artisan not know artisan saw photographer,,,,,,,,,,,,,,
4323,neutral,the artists disturbed the senator that the illustrators needed .,the senator disturbed the artists .,artists disturbed senator not know senator disturbed artists,,,,,,,,,,,,,,
4480,neutral,the psychologist expected the planners who the photojournalist disturbed .,the planners expected the photojournalist .,planners photojournalist disturbed psychologist expected planners not know planners expected photojournalist,,,,,,,,,,,,,,
4481,neutral,the musician recommended the dancer that the directors saw .,the dancer recommended the directors .,dancer directors saw musician recommended dancer not know dancer recommended directors,,,,,,,,,,,,,,
4482,neutral,the professors introduced the senator who the artists recognized .,the senator introduced the artists .,senator artists recognized professors introduced senator not know senator introduced artists,,,,,,,,,,,,,,
4483,neutral,the colorists brought the animators that the planners recognized .,the animators brought the planners .,animators planners recognized colorists brought animators not know animators brought planners,,,,,,,,,,,,,,
4640,neutral,the illustrators saw the worker that the colorist recommended .,the colorist saw the illustrators .,worker colorist recommended illustrators saw worker not know colorist saw illustrators,,,,,,,,,,,,,,
4641,neutral,the photojournalists needed the colorist who the judge brought .,the judge needed the photojournalists .,colorist judge brought photojournalists needed colorist not know judge needed photojournalists,,,,,,,,,,,,,,
4642,neutral,the student recognized the dancers that the musicians advised .,the musicians recognized the student .,dancers musicians advised student recognized dancers not know musicians recognized student,,,,,,,,,,,,,,
4643,neutral,the colorists advised the bakers that the students disturbed .,the students advised the colorists .,bakers students disturbed colorists advised bakers not know students advised colorists,,,,,,,,,,,,,,
4800,neutral,the student was brought by the stylists .,the student brought the stylists .,brought brought stylists brought student not know student brought stylists,,,,,,,,,,,,,,
4801,neutral,the animator was disturbed by the writers .,the animator disturbed the writers .,disturbed disturbed writers disturbed animator not know animator disturbed writers,,,,,,,,,,,,,,
4802,neutral,the animator was brought by the student .,the animator brought the student .,brought brought student brought animator not know animator brought student,,,,,,,,,,,,,,
4803,neutral,the dancer was expected by the colorist .,the dancer expected the colorist .,expected expected colorist expected dancer not know dancer expected colorist,,,,,,,,,,,,,,
4960,neutral,the colorists were recommended by the writer .,the colorists recommended the writer .,recommended recommended writer recommended colorists not know colorists recommended writer,,,,,,,,,,,,,,
4961,neutral,the bakers were deceived by the animator .,the bakers deceived the animator .,deceived deceived animator deceived bakers not know bakers deceived animator,,,,,,,,,,,,,,
4962,neutral,the presidents were recommended by the stylist .,the presidents recommended the stylist .,recommended recommended stylist recommended presidents not know presidents recommended stylist,,,,,,,,,,,,,,
4963,neutral,the stylists were recognized by the psychologist .,the stylists recognized the psychologist .,recognized recognized psychologist recognized stylists not know stylists recognized psychologist,,,,,,,,,,,,,,
5120,neutral,the judge and the essayists disturbed the presidents .,the judge disturbed the essayists .,judge disturbed presidents essayists disturbed presidents not know judge disturbed essayists,,,,,,,,,,,,,,
5121,neutral,the bakers and the psychologists expected the stylists .,the bakers expected the psychologists .,bakers expected stylists psychologists expected stylists not know bakers expected psychologists,,,,,,,,,,,,,,
5122,neutral,the musician and the baker needed the psychologists .,the musician needed the baker .,musician needed psychologists baker needed psychologists not know musician needed baker,,,,,,,,,,,,,,
5123,neutral,the senators and the photojournalists deceived the director .,the senators deceived the photojournalists .,senators deceived director photojournalists deceived director not know senators deceived photojournalists,,,,,,,,,,,,,,
5440,neutral,the artists expected the stylists and the colorist .,the stylists expected the colorist .,artists expected stylists artists expected colorist not know stylists expected colorist,,,,,,,,,,,,,,
5441,neutral,the student contacted the athlete and the artisans .,the athlete contacted the artisans .,student contacted athlete student contacted artisans not know athlete contacted artisans,,,,,,,,,,,,,,
5442,neutral,the senator recognized the animator and the planner .,the animator recognized the planner .,senator recognized animator senator recognized planner not know animator recognized planner,,,,,,,,,,,,,,
5443,neutral,the writer disturbed the colorist and the planners .,the colorist disturbed the planners .,writer disturbed colorist writer disturbed planners not know colorist disturbed planners,,,,,,,,,,,,,,
5600,neutral,the director recognized the photojournalists and the student .,the student recognized the photojournalists .,director recognized photojournalists director recognized student not know student recognized photojournalists,,,,,,,,,,,,,,
5601,neutral,the animators recognized the student and the strategist .,the strategist recognized the student .,animators recognized student animators recognized strategist not know strategist recognized student,,,,,,,,,,,,,,
5602,neutral,the illustrator recommended the psychologist and the animators .,the animators recommended the psychologist .,illustrator recommended psychologist illustrator recommended animators not know animators recommended psychologist,,,,,,,,,,,,,,
5603,neutral,the managers recommended the presidents and the artisan .,the artisan recommended the presidents .,managers recommended presidents managers recommended artisan not know artisan recommended presidents,,,,,,,,,,,,,,
5760,neutral,the professors needed the judges .,the judges needed the professors .,professors needed judges professors judges not know judges needed professors,,,,,,,,,,,,,,
5761,neutral,the musicians contacted the student .,the student contacted the musicians .,musicians contacted student musicians student not know student contacted musicians,,,,,,,,,,,,,,
5762,neutral,the athletes expected the musicians .,the musicians expected the athletes .,athletes expected musicians athletes musicians not know musicians expected athletes,,,,,,,,,,,,,,
5763,neutral,the photojournalist recognized the judge .,the judge recognized the photojournalist .,photojournalist recognized judge photojournalist judge not know judge recognized photojournalist,,,,,,,,,,,,,,
5920,entailment,angry workers cried .,workers cried .,angry workers workers,,,,,,,,,,,,,,
5921,entailment,serious artists died .,artists died .,serious artists artists,,,,,,,,,,,,,,
5922,entailment,angry dancers resigned .,dancers resigned .,angry dancers dancers,,,,,,,,,,,,,,
5923,entailment,reliable musicians resigned .,musicians resigned .,reliable musicians musicians,,,,,,,,,,,,,,
6080,entailment,lazy professors advised the artisan .,professors advised the artisan .,lazy professors professors,,,,,,,,,,,,,,
6081,entailment,angry dancers needed the artists .,dancers needed the artists .,angry dancers dancers,,,,,,,,,,,,,,
6082,entailment,compassionate professors recognized the scientists .,professors recognized the scientists .,compassionate professors professors,,,,,,,,,,,,,,
6083,entailment,angry directors brought the manager .,directors brought the manager .,angry directors directors,,,,,,,,,,,,,,
6240,entailment,the designer left the town .,the designer left .,left town left,,,,,,,,,,,,,,
6241,entailment,the writer paid the musician .,the writer paid .,paid musician paid,,,,,,,,,,,,,,
6242,entailment,the musician read the column .,the musician read .,read column read,,,,,,,,,,,,,,
6243,entailment,the photographer won the competition .,the photographer won .,won competition won,,,,,,,,,,,,,,
6720,entailment,the illustrator introduced the artisan that advised the writers .,the illustrator introduced the artisan .,artisan advised writers artisan,,,,,,,,,,,,,,
6721,entailment,the musician recommended the artists who saw the workers .,the musician recommended the artists .,artists saw workers artists,,,,,,,,,,,,,,
6722,entailment,the animators expected the planner who recognized the photojournalists .,the animators expected the planner .,planner recognized photojournalists planner,,,,,,,,,,,,,,
6723,entailment,the planners contacted the writer that expected the photojournalists .,the planners contacted the writer .,writer expected photojournalists writer,,,,,,,,,,,,,,
6880,entailment,the judge introduced the colorists near the scientist .,the judge introduced the colorists .,colorists scientist colorists,,,,,,,,,,,,,,
6881,entailment,the bakers advised the presidents behind the photojournalist .,the bakers advised the presidents .,presidents photojournalist presidents,,,,,,,,,,,,,,
6882,entailment,the animator saw the stylist next to the artisan .,the animator saw the stylist .,stylist artisan stylist,,,,,,,,,,,,,,
6883,entailment,the senators advised the illustrators next to the managers .,the senators advised the illustrators .,illustrators managers illustrators,,,,,,,,,,,,,,
